cfg_label,round,elo_temperature,beta,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,objective
r0_cfg0,0,15.0,0.1,1.0,1.0,0.5,6,8,0.7733,0.76,0.6933,0.0667,0.08,0.4267,0.589975
r0_cfg1,0,17.810149500146508,0.8162242925912142,2.419238300062716,0.1603700537234544,0.2979392316192388,9,12,0.6933,0.6933,0.7467,0.0,0.1467,0.56,0.599975
r0_cfg2,0,35.41615397017449,0.1652763569448143,0.9807691471651196,2.8597426414489746,0.5705842915922403,4,8,0.8333,0.6533,0.78,0.0,0.04,0.42,0.6516500000000001
r0_cfg3,0,28.42938499525189,0.7457692423183471,2.144490254111588,1.0860260501503944,0.7657378278672695,4,14,0.8333,0.66,0.7533,0.0,0.08,0.5,0.6466500000000001
r0_cfg4,0,10.094315239228308,0.2811713987961411,0.5067989313974977,1.9341330025345087,0.1028302758932113,7,2,0.82,0.74,0.8,0.0,0.06,0.4467,0.671675
r0_cfg5,0,5.050727643072605,0.5332811126951128,1.4475274477154016,1.8672677055001257,0.1546812253072857,10,16,0.7267,0.6333,0.7,0.0,0.04,0.5467,0.631675
r0_cfg6,0,23.723215219564736,0.501324900239706,2.698497449979186,1.2063123676925898,0.9757881993427872,5,4,0.8267,0.6467,0.74,0.0,0.06,0.5467,0.660025
r0_cfg7,0,30.3723247628659,0.912627830915153,0.0356919150799512,2.417946757748723,0.6869494011625648,3,11,0.7667,0.6267,0.7467,0.0,0.0733,0.4533,0.6117
r1_cfg0,1,19.755385197558116,0.7677559891668791,2.30373657559366,2.091821122163479,0.0896866498859497,6,2,0.7733,0.7,0.6733,0.0,0.04,0.4667,0.633325
r1_cfg1,1,14.520257866178872,0.3262802409317524,1.1574893014382768,2.572131853586713,0.5110907529160381,6,3,0.7733,0.62,0.6,0.0,0.02,0.5133,0.61665
r1_cfg2,1,4.700730721607568,0.1730238342043136,0.0443638691978983,2.142327512507751,0.0265379878844066,2,4,0.76,0.7,0.72,0.0,0.0467,0.56,0.66165
r1_cfg3,1,39.64961179764288,0.8924044982230701,2.9642032749988068,1.1765324950241365,0.8196748828136675,10,4,0.82,0.6533,0.6333,0.0,0.1,0.4667,0.593325
r1_cfg4,1,1.0034454331096023,0.7709444023329893,1.5683841847915103,1.0307480840016032,0.154823021606525,10,2,0.8067,0.6133,0.7267,0.0,0.1133,0.5,0.605025
r1_cfg5,1,18.93487677389969,0.2564275712210808,0.9321776041344236,1.5794318701982886,0.4084457065186265,4,2,0.8067,0.6933,0.76,0.0,0.0533,0.38,0.63335
r1_cfg6,1,10.044993275037486,0.2948106104870969,1.0312094164360297,1.9012480639565872,0.4372711957796688,8,2,0.7333,0.62,0.68,0.0,0.0733,0.5267,0.6033499999999999
r1_cfg7,1,33.211564941888255,0.2496350660417697,0.2560295937521711,1.5181928925402226,0.0197413170612409,9,2,0.7667,0.58,0.6133,0.0133,0.0933,0.6133,0.590025
