cfg_label,round,elo_temperature,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,objective
r0_cfg3,0,21.029791911132634,1.5867192456498742,2.088413159362972,0.3952437350526452,7,3,0.714,0.57,0.654,0.016,0.052,0.63,0.7713582089552238
r0_cfg7,0,31.637042555958033,2.9642628002911806,0.2905998984351754,0.5481348242610693,9,5,0.716,0.544,0.646,0.034,0.04,0.622,0.7616949152542373
r0_cfg2,0,36.57742354366928,0.5194765208289027,0.756638458929956,0.6933132084086537,9,8,0.754,0.54,0.664,0.04,0.088,0.604,0.7651193935565382
r0_cfg0,0,15.0,1.0,1.0,0.5,6,8,0.746,0.638,0.654,0.024,0.062,0.552,0.8032067919951486
r0_cfg6,0,25.97017326205969,1.0283670611679554,2.747099963016808,0.3437629137188196,7,9,0.74,0.608,0.632,0.04,0.076,0.512,0.7857772277227723
r0_cfg4,0,1.7076322119683027,1.4447080548852682,0.7129213633015752,0.8515185508877039,2,10,0.746,0.652,0.678,0.034,0.086,0.58,0.8017815741305674
r0_cfg5,0,6.517390771768987,2.014860629104078,1.1782503677532077,0.8938517281785607,4,15,0.724,0.618,0.71,0.04,0.018,0.656,0.7935943970767357
r0_cfg1,0,17.810149500146508,2.4431039169430733,2.419238300062716,0.053456684574484825,4,14,0.726,0.646,0.704,0.012,0.028,0.638,0.8070588235294116
r0_cfg10,0,33.703091450966895,1.192050414159894,1.5501067349687219,0.9845422161743045,5,5,0.77,0.696,0.666,0.032,0.052,0.638,0.8305310467179184
r0_cfg11,0,29.693259146995842,2.42042388394475,1.393136722035706,0.15760407503694296,3,6,0.76,0.664,0.71,0.018,0.058,0.584,0.8183321385902032
r0_cfg9,0,13.409926312044263,1.7998790564015508,0.12481158133596182,0.2533165365457535,10,11,0.738,0.628,0.72,0.04,0.09,0.558,0.7893757725587145
r0_cfg8,0,13.00039144884795,0.010117870755493641,1.7598419850692153,0.189472165890038,6,12,0.766,0.622,0.714,0.008,0.06,0.582,0.8077156626506024
r0_cfg14,0,24.885880813002586,0.353650183416903,0.5477052284404635,0.08384446427226067,3,6,0.764,0.676,0.73,0.022,0.074,0.61,0.8199043062200957
r0_cfg12,0,10.068716770038009,0.5934790363535285,2.9063238305971026,0.5802470855414867,8,13,0.774,0.612,0.696,0.02,0.048,0.55,0.8070379746835444
r0_cfg13,0,5.125954902730882,2.6486125644296408,1.879250136204064,0.6626813178882003,6,12,0.742,0.606,0.664,0.018,0.048,0.554,0.7943424741011578
r0_cfg15,0,38.51046898588538,2.122550236992538,2.579400605522096,0.7544648796319962,5,8,0.742,0.544,0.682,0.006,0.048,0.564,0.7743056930693069
r0_cfg17,0,19.393776980228722,2.1624849513173103,1.6806578859686852,0.5289708208292723,2,6,0.696,0.582,0.672,0.018,0.058,0.574,0.7679175515302935
r0_cfg21,0,8.749072756618261,2.2864870419725776,0.44022500328719616,0.4300308460369706,6,4,0.712,0.646,0.706,0.056,0.052,0.552,0.790564923076923
r0_cfg16,0,18.352687525562942,0.8577392175793648,0.9724632063880563,0.49205323588103056,8,15,0.756,0.626,0.67,0.032,0.096,0.566,0.7950534726490474
r0_cfg20,0,3.7897791946306825,0.23119319044053555,1.4742551185190678,0.325087146833539,4,8,0.752,0.64,0.738,0.03,0.06,0.542,0.8051847365233192
r0_cfg18,0,39.90615934692323,0.8044960973784328,0.018064135685563087,0.23329249490052462,7,12,0.744,0.618,0.666,0.072,0.102,0.528,0.7801166875784191
r0_cfg22,0,28.575872289948165,0.7406320162117481,2.009069222956896,0.8233212996274233,9,11,0.802,0.648,0.704,0.012,0.018,0.606,0.8352339181286551
r0_cfg19,0,23.785287456586957,2.8075658390298486,2.8497415613383055,0.9371837610378861,9,14,0.776,0.632,0.676,0.02,0.04,0.602,0.8158661887694145
r0_cfg24,0,14.434482619166374,1.220917266793549,2.5220855567604303,0.7276120530441403,4,7,0.748,0.568,0.73,0.018,0.04,0.61,0.7844297114794351
r0_cfg23,0,35.115573859773576,1.734423654153943,1.0528495386242867,0.025747759267687798,7,13,0.768,0.66,0.72,0.04,0.086,0.538,0.8104397334948515
r0_cfg28,0,7.920817048288882,1.0586643805727363,2.1691599916666746,0.11839135363698006,10,5,0.756,0.626,0.664,0.056,0.062,0.584,0.7968517156862746
r0_cfg25,0,11.911103983409703,2.8288268269971013,0.8875619117170572,0.7895000949501991,8,9,0.724,0.606,0.648,0.048,0.054,0.602,0.782013630731103
r0_cfg29,0,3.1326124407351017,1.6282446440309286,2.63998057320714,0.13819196727126837,8,7,0.75,0.668,0.69,0.024,0.06,0.602,0.8149034193161367
r0_cfg27,0,27.004716405645013,1.950835783034563,0.6559782363474369,0.6352125694975257,5,11,0.722,0.638,0.712,0.022,0.056,0.564,0.7964411943936623
r0_cfg32,0,16.699308954179287,0.39568061381578445,0.2329247072339058,0.9656184045597911,6,4,0.732,0.636,0.706,0.012,0.03,0.552,0.8053349368610944
