cfg_label,round,elo_temperature,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,objective
r0_cfg3,0,21.029791911132634,1.5867192456498742,2.088413159362972,0.3952437350526452,7,3,0.836,0.856,0.858,0.0,0.012,0.158,0.9140478260869566
r0_cfg2,0,36.57742354366928,0.5194765208289027,0.756638458929956,0.6933132084086537,9,8,0.856,0.842,0.848,0.0,0.018,0.142,0.9145206521739131
r0_cfg0,0,15.0,1.0,1.0,0.5,6,8,0.832,0.842,0.828,0.0,0.012,0.156,0.9087689787001638
r0_cfg6,0,25.97017326205969,1.0283670611679554,2.747099963016808,0.3437629137188196,7,9,0.854,0.85,0.844,0.0,0.012,0.144,0.9175384615384614
r0_cfg7,0,31.637042555958033,2.9642628002911806,0.2905998984351754,0.5481348242610693,9,5,0.82,0.86,0.86,0.0,0.014,0.148,0.910114566284779
r0_cfg4,0,1.7076322119683027,1.4447080548852682,0.7129213633015752,0.8515185508877039,2,10,0.828,0.822,0.83,0.0,0.0,0.154,0.9041095890410958
r0_cfg1,0,17.810149500146508,2.4431039169430733,2.419238300062716,0.053456684574484825,4,14,0.842,0.866,0.842,0.0,0.016,0.154,0.9178418201516791
r0_cfg5,0,6.517390771768987,2.014860629104078,1.1782503677532077,0.8938517281785607,4,15,0.834,0.844,0.824,0.0,0.01,0.188,0.9103653217011995
r0_cfg10,0,33.703091450966895,1.192050414159894,1.5501067349687219,0.9845422161743045,5,5,0.832,0.838,0.846,0.0,0.01,0.146,0.9080054644808742
r0_cfg11,0,29.693259146995842,2.42042388394475,1.393136722035706,0.15760407503694296,3,6,0.832,0.832,0.854,0.0,0.004,0.124,0.907471038251366
r0_cfg8,0,13.00039144884795,0.010117870755493641,1.7598419850692153,0.189472165890038,6,12,0.824,0.838,0.85,0.0,0.0,0.152,0.9077007099945384
r0_cfg14,0,24.885880813002586,0.353650183416903,0.5477052284404635,0.08384446427226067,3,6,0.854,0.866,0.864,0.0,0.01,0.186,0.9225876010781672
r0_cfg12,0,10.068716770038009,0.5934790363535285,2.9063238305971026,0.5802470855414867,8,13,0.844,0.88,0.836,0.0,0.012,0.154,0.9233060344827587
r0_cfg13,0,5.125954902730882,2.6486125644296408,1.879250136204064,0.6626813178882003,6,12,0.856,0.822,0.826,0.0,0.012,0.136,0.9099465357337698
r0_cfg9,0,13.409926312044263,1.7998790564015508,0.12481158133596182,0.2533165365457535,10,11,0.826,0.834,0.858,0.0,0.012,0.112,0.9046271929824562
r0_cfg15,0,38.51046898588538,2.122550236992538,2.579400605522096,0.7544648796319962,5,8,0.844,0.842,0.844,0.0,0.012,0.138,0.9122939575394665
r0_cfg17,0,19.393776980228722,2.1624849513173103,1.6806578859686852,0.5289708208292723,2,6,0.838,0.86,0.862,0.0,0.012,0.124,0.9157959848073792
r0_cfg21,0,8.749072756618261,2.2864870419725776,0.44022500328719616,0.4300308460369706,6,4,0.87,0.854,0.86,0.0,0.012,0.12,0.9233060344827587
r0_cfg20,0,3.7897791946306825,0.23119319044053555,1.4742551185190678,0.325087146833539,4,8,0.824,0.81,0.842,0.0,0.012,0.136,0.896850358917725
r0_cfg16,0,18.352687525562942,0.8577392175793648,0.9724632063880563,0.49205323588103056,8,15,0.856,0.834,0.864,0.0,0.006,0.146,0.914728555917481
r0_cfg19,0,23.785287456586957,2.8075658390298486,2.8497415613383055,0.9371837610378861,9,14,0.85,0.838,0.84,0.0,0.012,0.114,0.912879216539717
r0_cfg18,0,39.90615934692323,0.8044960973784328,0.018064135685563087,0.23329249490052462,7,12,0.862,0.852,0.84,0.0,0.012,0.162,0.920430037817396
r0_cfg22,0,28.575872289948165,0.7406320162117481,2.009069222956896,0.8233212996274233,9,11,0.844,0.85,0.848,0.0,0.016,0.156,0.9137835780315389
r0_cfg24,0,14.434482619166374,1.220917266793549,2.5220855567604303,0.7276120530441403,4,7,0.84,0.82,0.85,0.0,0.018,0.166,0.903382756727073
r0_cfg23,0,35.115573859773576,1.734423654153943,1.0528495386242867,0.025747759267687798,7,13,0.866,0.87,0.868,0.0,0.012,0.126,0.9267368421052631
r0_cfg25,0,11.911103983409703,2.8288268269971013,0.8875619117170572,0.7895000949501991,8,9,0.864,0.844,0.826,0.0,0.0,0.132,0.9212513484358144
r0_cfg28,0,7.920817048288882,1.0586643805727363,2.1691599916666746,0.11839135363698006,10,5,0.864,0.858,0.866,0.0,0.012,0.148,0.9227320754716981
r0_cfg27,0,27.004716405645013,1.950835783034563,0.6559782363474369,0.6352125694975257,5,11,0.866,0.854,0.848,0.0,0.012,0.134,0.9221574973031282
r0_cfg29,0,3.1326124407351017,1.6282446440309286,2.63998057320714,0.13819196727126837,8,7,0.844,0.854,0.866,0.0,0.016,0.11,0.9149462248777838
r0_cfg32,0,16.699308954179287,0.39568061381578445,0.2329247072339058,0.9656184045597911,6,4,0.838,0.87,0.85,0.0,0.004,0.132,0.9204017278617711
r0_cfg26,0,30.288369027897716,0.15577162988483906,2.3128509745001793,0.46409622114151716,3,16,0.82,0.836,0.854,0.0,0.016,0.112,0.9026109890109891
r0_cfg31,0,35.25004361476749,2.600718188099563,1.8398560378700495,0.29640839248895645,3,10,0.828,0.836,0.834,0.0,0.012,0.166,0.9058138006571741
r0_cfg30,0,22.043042327277362,1.3930557081475854,1.3084410410374403,0.6238271780312061,5,14,0.836,0.82,0.87,0.0,0.012,0.124,0.9034379802414928
r0_cfg33,0,15.671887564472854,1.528851849026978,1.3245170144364238,0.740848514251411,6,5,0.844,0.836,0.836,0.0,0.018,0.108,0.9092736209721464
r0_cfg37,0,7.425965553149581,2.9283773358911276,2.57797918561846,0.33136167004704475,2,4,0.82,0.828,0.822,0.0,0.016,0.14,0.9002290748898678
r0_cfg34,0,36.27803423628211,1.4805935192853212,2.998835896141827,0.005791701376438141,9,11,0.85,0.836,0.854,0.0,0.022,0.108,0.9101823144104804
r0_cfg36,0,2.635398662649095,0.48358392622321844,1.5425527235493064,0.4139780690893531,4,9,0.842,0.848,0.85,0.0,0.012,0.14,0.9134638390429581
r0_cfg38,0,27.49894752819091,0.06798526737838984,0.9974107732996345,0.9063673904165626,7,10,0.832,0.83,0.844,0.0,0.01,0.122,0.9056352683461116
r0_cfg40,0,10.881321327760816,0.9705125167965889,0.48466884065419436,0.5020498409867287,4,7,0.838,0.812,0.862,0.0,0.012,0.18,0.9016492578339746
r0_cfg35,0,22.539671763777733,2.5009584613144398,0.1553424233570695,0.8326697535812855,7,16,0.852,0.848,0.852,0.0,0.012,0.164,0.9163774403470716
r0_cfg41,0,15.537513698451221,2.385994680225849,2.1306656347587705,0.9408905254676938,8,9,0.832,0.86,0.852,0.006,0.012,0.168,0.9127773543821448
r0_cfg39,0,31.3187592709437,2.050753223709762,1.9656295655295253,0.23568687122315168,9,14,0.848,0.834,0.832,0.0,0.012,0.166,0.9111215258855586
r0_cfg44,0,9.16828732099384,1.1327167209237814,0.8374346131458879,0.14276858512312174,6,6,0.862,0.838,0.856,0.0,0.018,0.142,0.9151004888647474
r0_cfg43,0,28.156042002141476,1.8342982241883874,2.3623402258381248,0.5952122379094362,3,13,0.82,0.82,0.834,0.0,0.0,0.158,0.9010989010989011
r0_cfg42,0,34.01315501704812,0.6527969716116786,0.6936514405533671,0.2970827054232359,5,15,0.844,0.816,0.83,0.0,0.016,0.18,0.9037980241492864
r0_cfg45,0,4.206631330773234,2.063232301734388,0.3652634611353278,0.1001292634755373,8,7,0.862,0.85,0.846,0.0,0.01,0.166,0.9202809292274446
r0_cfg47,0,38.80134102795273,2.7079462576657534,1.1651130812242627,0.44195494521409273,5,11,0.84,0.834,0.844,0.0,0.012,0.152,0.9087689787001638
r0_cfg46,0,23.36785562802106,0.8921684212982655,1.7085271859541535,0.6462667817249894,3,13,0.846,0.854,0.86,0.0,0.012,0.136,0.9163774403470716
r1_cfg5,1,2.597341069859797,1.719959362795187,0.9816902231951892,0.025539519567500342,3,10,0.846,0.864,0.834,0.0,0.012,0.124,0.9192752839372634
r1_cfg0,1,4.829042234784231,1.7146828460219568,1.0679084465354636,0.5240319090872118,4,13,0.85,0.862,0.868,0.0,0.012,0.148,0.9198529729729729
r1_cfg3,1,38.7793709906088,1.6491429975985665,2.645599492993166,0.4254326763153776,7,13,0.838,0.858,0.866,0.0,0.012,0.16,0.9152138979370249
r1_cfg2,1,24.027535660714125,1.4352966797364268,2.644356289174226,0.4669600520792304,7,13,0.822,0.844,0.862,0.0,0.018,0.134,0.9051567982456141
r1_cfg6,1,35.5235604029296,1.4793499771102834,2.1485623027944194,0.06175051089327856,7,13,0.852,0.838,0.858,0.0,0.012,0.124,0.9134638390429581
r1_cfg4,1,19.642540921739535,1.495394216901898,0.5890943805185758,0.057371369625087834,7,13,0.86,0.87,0.87,0.0,0.012,0.142,0.925024206562668
r1_cfg1,1,36.77226746706458,1.7188770940091813,1.7458766774723065,0.3876583996074827,9,14,0.85,0.86,0.87,0.0,0.0,0.124,0.921832884097035
r1_cfg7,1,23.131814325814588,1.8565656103442305,0.8906871599679778,0.06333245159542823,7,13,0.842,0.876,0.86,0.0,0.018,0.086,0.9202908108108107
r1_cfg12,1,7.216363394120157,2.2717185354702,0.9088511328909064,0.027627222683343174,6,4,0.876,0.832,0.856,0.0,0.012,0.15,0.9186969696969697
r1_cfg11,1,25.159441936124473,2.316723030307431,2.0860246487082637,0.9571124066860888,6,4,0.868,0.826,0.862,0.0,0.012,0.188,0.9146311787072243
r1_cfg8,1,9.550397327813194,1.6308060504223274,0.24520722926021882,0.002852281538919477,7,13,0.878,0.89,0.856,0.0,0.016,0.106,0.9348912579957357
r1_cfg10,1,38.672188677713656,1.7466351550064392,1.6386255581036933,0.11609529080359762,9,14,0.848,0.848,0.858,0.0,0.012,0.124,0.9152138979370249
r1_cfg9,1,28.359904927470122,1.7485608984016228,0.46684976724923366,0.9206987668139068,7,13,0.848,0.858,0.87,0.0,0.012,0.146,0.9181180292365999
r1_cfg15,1,36.763479465341064,0.5840985775348204,1.254532275918328,0.7888885493260386,10,13,0.846,0.82,0.858,0.0,0.018,0.17,0.9051567982456141
r1_cfg13,1,35.100924086975716,1.7774578226010855,0.0192522596756265,0.27169011053302344,7,13,0.826,0.842,0.852,0.0,0.006,0.138,0.9082446750409612
r1_cfg14,1,34.17706389543755,1.7899554502177053,2.7461154942454558,0.017550706117842044,7,13,0.862,0.842,0.854,0.0,0.012,0.124,0.9175384615384614
r2_cfg6,2,20.379802613306598,0.5216551723242602,0.19041456632420722,0.008897506631901921,6,6,0.836,0.86,0.858,0.0,0.012,0.136,0.9152138979370249
r2_cfg0,2,19.391953405001317,2.925309119261751,0.05493268018572718,0.0056089113312379766,7,7,0.87,0.866,0.864,0.0,0.012,0.104,0.9267368421052631
r2_cfg1,2,13.332566843889284,1.4448029886829477,0.16620909017358926,0.0071584380860557646,7,6,0.844,0.856,0.868,0.0,0.016,0.146,0.9155266015200868
r2_cfg5,2,14.86809666090608,0.9208317426246582,2.6392038445050674,3.512929329685389e-05,5,10,0.812,0.838,0.844,0.0,0.016,0.164,0.9008255365987892
r2_cfg3,2,14.499895068045436,2.1192174999376086,0.6475450139244214,0.03643229504050106,7,12,0.86,0.838,0.85,0.0,0.012,0.16,0.9157959848073792
r2_cfg2,2,8.599508824930146,1.095188144146829,0.7323176304502941,0.001097789795345028,8,12,0.816,0.8,0.852,0.0,0.012,0.116,0.8914006659267482
r2_cfg7,2,29.882114074560466,1.6114545578423989,0.3955334190647577,0.01350194930684379,6,12,0.882,0.864,0.844,0.006,0.004,0.128,0.9300160599571735
r2_cfg4,2,11.128928564763,1.469814376078865,0.07957489417702437,0.01869681998213069,7,13,0.838,0.806,0.846,0.0,0.012,0.148,0.8998546255506608
r2_cfg9,2,29.90603011737188,2.3390280363285667,1.0000205473645434,0.4617550357539679,6,4,0.838,0.852,0.872,0.0,0.012,0.12,0.9134638390429581
r2_cfg10,2,32.789919048940895,2.5860419985573246,0.6163782959245967,0.015732330076185134,7,6,0.832,0.852,0.852,0.0,0.0,0.122,0.9142236699239956
r2_cfg14,2,17.673059368098787,1.7046417620387917,1.7968718109875552,0.047537063840921726,7,4,0.852,0.84,0.842,0.0,0.012,0.138,0.9140478260869566
r2_cfg11,2,22.822869218881465,2.339370898649177,2.3928398261572603,0.0005575734361391583,7,8,0.83,0.81,0.866,0.0,0.012,0.134,0.8986549062844542
r2_cfg13,2,11.964376209311473,0.10205542115976388,1.9384949607703605,0.0008764189544724357,7,7,0.836,0.828,0.826,0.0,0.012,0.136,0.9058138006571741
r2_cfg8,2,26.672546089987204,0.907928927473233,0.7783202287759428,0.018456396908162257,7,15,0.804,0.828,0.852,0.0,0.01,0.174,0.8966537824406406
r2_cfg15,2,34.12727390641245,2.3273877202700017,0.48428892620829145,0.3033774689570496,7,9,0.844,0.848,0.856,0.0,0.012,0.11,0.9140478260869566
r2_cfg12,2,35.65523658856451,0.573881605305542,1.917155613079892,0.6205180057043734,8,13,0.854,0.824,0.83,0.0,0.012,0.17,0.9099465357337698
r3_cfg1,3,39.596546909146745,1.620029114585317,0.31182406202506285,0.8168538232619997,7,5,0.848,0.842,0.854,0.0,0.006,0.188,0.914728555917481
r3_cfg5,3,8.299485727137617,1.6151370861230605,0.24205569433756552,0.6401657368000734,8,8,0.822,0.854,0.856,0.0,0.012,0.13,0.9093580786026201
r3_cfg2,3,33.89693445747762,1.4766234074364575,0.24186837886805018,0.6026930963467843,7,9,0.864,0.844,0.838,0.0,0.012,0.134,0.9186969696969697
r3_cfg4,3,9.732556188712149,0.17064801500360632,0.2464657848057717,0.5164102834368152,4,11,0.8469,0.814,0.854,0.0,0.012,0.146,0.9048944065334757
r3_cfg0,3,20.917362451082454,1.607232175376219,0.2574373687946487,0.6294463878032432,3,12,0.828,0.854,0.858,0.0,0.012,0.128,0.9111215258855586
r3_cfg3,3,29.394130141461904,1.7042637181684066,0.25292118451172335,0.019203399293126536,6,14,0.844,0.834,0.84,0.0,0.006,0.126,0.9112015250544663
r3_cfg6,3,4.665855272885517,1.6223155502438056,0.16565654020543702,0.13013281128307289,5,13,0.846,0.84,0.842,0.0,0.006,0.124,0.9135554347826087
r3_cfg7,3,39.37913219226115,1.585441225575146,0.5316981844762249,0.015811112523117624,7,15,0.838,0.832,0.86,0.0,0.016,0.136,0.9067542419266557
r3_cfg12,3,7.2381909287444035,1.7153457237521375,0.23301828515351403,0.1944150889582193,7,4,0.874,0.834,0.85,0.0,0.004,0.136,0.9204017278617711
r3_cfg8,3,18.403460709175935,0.7559280669572186,0.30763317625227293,0.004628774312823492,6,14,0.844,0.836,0.838,0.0,0.012,0.186,0.910534351145038
r3_cfg9,3,4.797248511952668,1.393235328399602,0.267351408358164,0.4549252629378798,6,14,0.852,0.824,0.84,0.0,0.012,0.146,0.9093580786026201
r3_cfg11,3,33.583502918389435,1.6067097043961258,0.24083587882940433,0.5421781649726805,10,13,0.848,0.844,0.87,0.0,0.012,0.182,0.9140478260869566
r3_cfg10,3,27.702481578133696,1.5766615973053577,0.3182104357463811,0.6118344264174623,9,13,0.856,0.87,0.862,0.0,0.016,0.128,0.9230145552560647
r3_cfg13,3,38.54464748482913,1.626212014275453,0.30008186174420537,0.8867043193762976,6,13,0.848,0.838,0.854,0.0,0.012,0.164,0.9122939575394665
r3_cfg15,3,32.05838233363942,1.6290765872430644,0.2994003122798944,0.0038527381231353583,8,12,0.866,0.852,0.846,0.0,0.0,0.12,0.9241527703066165
